SalesOrderId,SalesOrderNo,creationDate,channel,Mode of payment,customerId,StoreID,terminalID,returnOrderId,recordType,,
2769,S868,15/3/2019,Reverse channels,Googlepay,C00001768,4768,1068,,Contract Purchase Orders (CPO),,
2770,S869,28/3/2019,Reverse channels,Googlepay,C00001769,4769,1069,,Contract Purchase Orders (CPO),,
2771,S870,29/3/2019,Reverse channels,Googlepay,C00001770,4770,1070,,Contract Purchase Orders (CPO),,
2772,S871,1/4/2019,Reverse channels,Googlepay,C00001771,4771,1071,,Contract Purchase Orders (CPO),,
2773,S872,6/4/2019,Reverse channels,Googlepay,C00001772,4772,1072,,Contract Purchase Orders (CPO),,
2774,S873,10/4/2019,Reverse channels,Googlepay,C00001773,4773,1073,,Contract Purchase Orders (CPO),,
2775,S874,10/5/2019,Reverse channels,Googlepay,C00001774,4774,1074,,Contract Purchase Orders (CPO),,
2776,S875,17/5/2019,Reverse channels,Googlepay,C00001775,4775,1075,,Contract Purchase Orders (CPO),,
2777,S876,20/5/2019,Reverse channels,Googlepay,C00001776,4776,1076,,Contract Purchase Orders (CPO),,
2778,S877,22/5/2019,Reverse channels,Googlepay,C00001777,4777,1077,,Contract Purchase Orders (CPO),,
2779,S878,23/5/2019,Reverse channels,Googlepay,C00001778,4778,1078,,Contract Purchase Orders (CPO),,
2780,S879,24/5/2019,Reverse channels,Googlepay,C00001779,4779,1079,,Contract Purchase Orders (CPO),,
2781,S880,10/6/2019,Reverse channels,Googlepay,C00001780,4780,1080,,Contract Purchase Orders (CPO),,
2782,S881,14/6/2019,Reverse channels,Googlepay,C00001781,4781,1081,,Contract Purchase Orders (CPO),,
2783,S882,18/6/2019,Reverse channels,Googlepay,C00001782,4782,1082,,Contract Purchase Orders (CPO),,
2784,S883,10/1/2019,Reverse channels,Googlepay,C00001783,4783,1083,,Contract Purchase Orders (CPO),,
2785,S884,14/1/2019,Reverse channels,Googlepay,C00001784,4784,1084,,Contract Purchase Orders (CPO),,
2786,S885,2/2/2019,Reverse channels,Googlepay,C00001785,4785,1085,,Contract Purchase Orders (CPO),,
2787,S886,10/2/2019,Reverse channels,Googlepay,C00001786,4786,1086,,Contract Purchase Orders (CPO),,
2788,S887,27/2/2019,Reverse channels,Googlepay,C00001787,4787,1087,,Contract Purchase Orders (CPO),,
2789,S888,15/3/2019,Reverse channels,Googlepay,C00001788,4788,1088,,Contract Purchase Orders (CPO),,
2790,S889,28/3/2019,Reverse channels,Googlepay,C00001789,4789,1089,,Contract Purchase Orders (CPO),,
2791,S890,29/3/2019,Reverse channels,Googlepay,C00001790,4790,1090,,Contract Purchase Orders (CPO),,
2792,S891,1/4/2019,Reverse channels,Googlepay,C00001791,4791,1091,,Contract Purchase Orders (CPO),,
2793,S892,6/4/2019,Reverse channels,Googlepay,C00001792,4792,1092,,Contract Purchase Orders (CPO),,
2794,S893,10/4/2019,Reverse channels,Googlepay,C00001793,4793,1093,,Contract Purchase Orders (CPO),,
2795,S894,10/5/2019,Reverse channels,Googlepay,C00001794,4794,1094,,Contract Purchase Orders (CPO),,
2796,S895,17/5/2019,Reverse channels,Googlepay,C00001795,4795,1095,,Contract Purchase Orders (CPO),,
2797,S896,20/5/2019,Reverse channels,Googlepay,C00001796,4796,1096,,Contract Purchase Orders (CPO),,
2798,S897,22/5/2019,Reverse channels,Googlepay,C00001797,4797,1097,,Contract Purchase Orders (CPO),,
2799,S898,23/5/2019,Reverse channels,Googlepay,C00001798,4798,1098,,Contract Purchase Orders (CPO),,
2800,S899,24/5/2019,Reverse channels,Googlepay,C00001799,4799,1099,,Contract Purchase Orders (CPO),,
2801,S900,10/6/2019,Reverse channels,Googlepay,C00001800,4800,1100,,Contract Purchase Orders (CPO),,
2802,S901,14/6/2019,Reverse channels,Googlepay,C00001801,4801,1101,,Contract Purchase Orders (CPO),,
2803,S902,18/6/2019,Reverse channels,Googlepay,C00001802,4802,1102,,Contract Purchase Orders (CPO),,
2804,S903,10/1/2019,Reverse channels,Googlepay,C00001803,4803,1103,,Contract Purchase Orders (CPO),,
2805,S904,14/1/2019,Reverse channels,Googlepay,C00001804,4804,1104,,Contract Purchase Orders (CPO),,
2806,S905,2/2/2019,Reverse channels,Googlepay,C00001805,4805,1105,,Contract Purchase Orders (CPO),,
2807,S906,10/2/2019,Reverse channels,Googlepay,C00001806,4806,1106,,Contract Purchase Orders (CPO),,
2808,S907,27/2/2019,Reverse channels,Googlepay,C00001807,4807,1107,,Contract Purchase Orders (CPO),,
2809,S908,15/3/2019,Reverse channels,Googlepay,C00001808,4808,1108,,Contract Purchase Orders (CPO),,
2810,S909,28/3/2019,Reverse channels,Googlepay,C00001809,4809,1109,,Contract Purchase Orders (CPO),,
2811,S910,29/3/2019,Reverse channels,Googlepay,C00001810,4810,1110,,Contract Purchase Orders (CPO),,
2812,S911,1/4/2019,Reverse channels,Googlepay,C00001811,4811,1111,,Contract Purchase Orders (CPO),,
2813,S912,6/4/2019,Reverse channels,Googlepay,C00001812,4812,1112,,Contract Purchase Orders (CPO),,
2814,S913,10/4/2019,Reverse channels,Googlepay,C00001813,4813,1113,,Contract Purchase Orders (CPO),,
2815,S914,10/5/2019,Reverse channels,Googlepay,C00001814,4814,1114,,Contract Purchase Orders (CPO),,
2816,S915,17/5/2019,Reverse channels,Googlepay,C00001815,4815,1115,,Contract Purchase Orders (CPO),,
2817,S916,20/5/2019,Reverse channels,Googlepay,C00001816,4816,1116,,Contract Purchase Orders (CPO),,
2818,S917,22/5/2019,Reverse channels,Googlepay,C00001817,4817,1117,,Contract Purchase Orders (CPO),,
2819,S918,23/5/2019,Reverse channels,Googlepay,C00001818,4818,1118,,Contract Purchase Orders (CPO),,
2820,S919,24/5/2019,Reverse channels,Googlepay,C00001819,4819,1119,,Contract Purchase Orders (CPO),,
2821,S920,10/6/2019,Reverse channels,Googlepay,C00001820,4820,1120,,Contract Purchase Orders (CPO),,
2822,S921,14/6/2019,Reverse channels,Googlepay,C00001821,4821,1121,,Contract Purchase Orders (CPO),,
2823,S922,18/6/2019,Reverse channels,Googlepay,C00001822,4822,1122,,Contract Purchase Orders (CPO),,
2824,S923,10/1/2019,Reverse channels,Googlepay,C00001823,4823,1123,,Contract Purchase Orders (CPO),,
2825,S924,14/1/2019,Reverse channels,Googlepay,C00001824,4824,1124,,Contract Purchase Orders (CPO),,
2826,S925,2/2/2019,Reverse channels,Googlepay,C00001825,4825,1125,,Contract Purchase Orders (CPO),,
2827,S926,10/2/2019,Reverse channels,Googlepay,C00001826,4826,1126,,Contract Purchase Orders (CPO),,
2828,S927,27/2/2019,Reverse channels,Googlepay,C00001827,4827,1127,,Contract Purchase Orders (CPO),,
2829,S928,15/3/2019,Reverse channels,Googlepay,C00001828,4828,1128,,Contract Purchase Orders (CPO),,
2830,S929,28/3/2019,Reverse channels,Googlepay,C00001829,4829,1129,,Contract Purchase Orders (CPO),,
2831,S930,29/3/2019,Reverse channels,Googlepay,C00001830,4830,1130,,Contract Purchase Orders (CPO),,
2832,S931,1/4/2019,Reverse channels,Googlepay,C00001831,4831,1131,,Contract Purchase Orders (CPO),,
2833,S932,6/4/2019,Reverse channels,Googlepay,C00001832,4832,1132,,Contract Purchase Orders (CPO),,
2834,S933,10/4/2019,Reverse channels,Googlepay,C00001833,4833,1133,,Contract Purchase Orders (CPO),,
2835,S934,10/5/2019,Reverse channels,Googlepay,C00001834,4834,1134,,Contract Purchase Orders (CPO),,
2836,S935,17/5/2019,Reverse channels,Googlepay,C00001835,4835,1135,,Contract Purchase Orders (CPO),,
2837,S936,20/5/2019,Reverse channels,Googlepay,C00001836,4836,1136,,Contract Purchase Orders (CPO),,
2838,S937,22/5/2019,Reverse channels,Googlepay,C00001837,4837,1137,,Contract Purchase Orders (CPO),,
2839,S938,23/5/2019,Reverse channels,Googlepay,C00001838,4838,1138,,Contract Purchase Orders (CPO),,
2840,S939,24/5/2019,Reverse channels,Googlepay,C00001839,4839,1139,,Contract Purchase Orders (CPO),,
2841,S940,10/6/2019,Reverse channels,Googlepay,C00001840,4840,1140,,Contract Purchase Orders (CPO),,
2842,S941,14/6/2019,Reverse channels,Googlepay,C00001841,4841,1141,,Contract Purchase Orders (CPO),,
2843,S942,18/6/2019,Reverse channels,Googlepay,C00001842,4842,1142,,Contract Purchase Orders (CPO),,
2844,S943,10/1/2019,Reverse channels,Googlepay,C00001843,4843,1143,,Contract Purchase Orders (CPO),,
2845,S944,14/1/2019,Reverse channels,Googlepay,C00001844,4844,1144,,Contract Purchase Orders (CPO),,
2846,S945,2/2/2019,Reverse channels,Googlepay,C00001845,4845,1145,,Contract Purchase Orders (CPO),,
2847,S946,10/2/2019,Reverse channels,Googlepay,C00001846,4846,1146,,Contract Purchase Orders (CPO),,
2848,S947,27/2/2019,Reverse channels,Googlepay,C00001847,4847,1147,,Contract Purchase Orders (CPO),,
2849,S948,15/3/2019,Reverse channels,Googlepay,C00001848,4848,1148,,Contract Purchase Orders (CPO),,
2850,S949,28/3/2019,Reverse channels,Googlepay,C00001849,4849,1149,,Contract Purchase Orders (CPO),,
2851,S950,29/3/2019,Reverse channels,Googlepay,C00001850,4850,1150,,Contract Purchase Orders (CPO),,
2852,S951,1/4/2019,Reverse channels,Googlepay,C00001851,4851,1151,,Contract Purchase Orders (CPO),,
2853,S952,6/4/2019,Reverse channels,Googlepay,C00001852,4852,1152,,Contract Purchase Orders (CPO),,
2854,S953,10/4/2019,Reverse channels,Googlepay,C00001853,4853,1153,,Contract Purchase Orders (CPO),,
2855,S954,10/5/2019,Reverse channels,Googlepay,C00001854,4854,1154,,Contract Purchase Orders (CPO),,
2856,S955,17/5/2019,Reverse channels,Googlepay,C00001855,4855,1155,,Contract Purchase Orders (CPO),,
2857,S956,20/5/2019,Reverse channels,Googlepay,C00001856,4856,1156,,Contract Purchase Orders (CPO),,
2858,S957,22/5/2019,Reverse channels,Googlepay,C00001857,4857,1157,,Contract Purchase Orders (CPO),,
2859,S958,23/5/2019,Reverse channels,Googlepay,C00001858,4858,1158,,Contract Purchase Orders (CPO),,
2860,S959,24/5/2019,Reverse channels,Googlepay,C00001859,4859,1159,,Contract Purchase Orders (CPO),,
2861,S960,10/6/2019,Reverse channels,Googlepay,C00001860,4860,1160,,Contract Purchase Orders (CPO),,
2862,S961,14/6/2019,Reverse channels,Googlepay,C00001861,4861,1161,,Contract Purchase Orders (CPO),,
2863,S962,18/6/2019,Reverse channels,Googlepay,C00001862,4862,1162,,Contract Purchase Orders (CPO),,
2864,S963,10/1/2019,Reverse channels,Googlepay,C00001863,4863,1163,,Contract Purchase Orders (CPO),,
2865,S964,14/1/2019,Reverse channels,Googlepay,C00001864,4864,1164,,Contract Purchase Orders (CPO),,
2866,S965,2/2/2019,Reverse channels,Googlepay,C00001865,4865,1165,,Contract Purchase Orders (CPO),,
2867,S966,10/2/2019,Reverse channels,Googlepay,C00001866,4866,1166,,Contract Purchase Orders (CPO),,
2868,S967,27/2/2019,Reverse channels,Googlepay,C00001867,4867,1167,,Contract Purchase Orders (CPO),,
2869,S968,15/3/2019,Reverse channels,Googlepay,C00001868,4868,1168,,Contract Purchase Orders (CPO),,
2870,S969,28/3/2019,Reverse channels,Googlepay,C00001869,4869,1169,,Contract Purchase Orders (CPO),,
2871,S970,29/3/2019,Reverse channels,Googlepay,C00001870,4870,1170,,Contract Purchase Orders (CPO),,
2872,S971,1/4/2019,Reverse channels,Googlepay,C00001871,4871,1171,,Contract Purchase Orders (CPO),,
2873,S972,6/4/2019,Reverse channels,Googlepay,C00001872,4872,1172,,Contract Purchase Orders (CPO),,
2874,S973,10/4/2019,Reverse channels,Googlepay,C00001873,4873,1173,,Contract Purchase Orders (CPO),,
2875,S974,10/5/2019,Reverse channels,Googlepay,C00001874,4874,1174,,Contract Purchase Orders (CPO),,
2876,S975,17/5/2019,Reverse channels,Googlepay,C00001875,4875,1175,,Contract Purchase Orders (CPO),,
2877,S976,20/5/2019,Reverse channels,Googlepay,C00001876,4876,1176,,Contract Purchase Orders (CPO),,
2878,S977,22/5/2019,Reverse channels,Googlepay,C00001877,4877,1177,,Contract Purchase Orders (CPO),,
2879,S978,23/5/2019,Reverse channels,Googlepay,C00001878,4878,1178,,Contract Purchase Orders (CPO),,
2880,S979,24/5/2019,Reverse channels,Googlepay,C00001879,4879,1179,,Contract Purchase Orders (CPO),,
2881,S980,10/6/2019,Reverse channels,Googlepay,C00001880,4880,1180,,Contract Purchase Orders (CPO),,
2882,S981,14/6/2019,Reverse channels,Googlepay,C00001881,4881,1181,,Contract Purchase Orders (CPO),,
2883,S982,18/6/2019,Reverse channels,Googlepay,C00001882,4882,1182,,Contract Purchase Orders (CPO),,
2884,S983,10/1/2019,Reverse channels,Googlepay,C00001883,4883,1183,,Contract Purchase Orders (CPO),,
2885,S984,14/1/2019,Reverse channels,Googlepay,C00001884,4884,1184,,Contract Purchase Orders (CPO),,
2886,S985,2/2/2019,Reverse channels,Googlepay,C00001885,4885,1185,,Contract Purchase Orders (CPO),,
2887,S986,10/2/2019,Reverse channels,Googlepay,C00001886,4886,1186,,Contract Purchase Orders (CPO),,
2888,S987,27/2/2019,Reverse channels,Googlepay,C00001887,4887,1187,,Contract Purchase Orders (CPO),,
2889,S988,15/3/2019,Reverse channels,Googlepay,C00001888,4888,1188,,Contract Purchase Orders (CPO),,
2890,S989,28/3/2019,Reverse channels,Googlepay,C00001889,4889,1189,,Contract Purchase Orders (CPO),,
2891,S990,29/3/2019,Reverse channels,Googlepay,C00001890,4890,1190,,Contract Purchase Orders (CPO),,
2892,S991,1/4/2019,Reverse channels,Googlepay,C00001891,4891,1191,,Contract Purchase Orders (CPO),,
2893,S992,6/4/2019,Reverse channels,Googlepay,C00001892,4892,1192,,Contract Purchase Orders (CPO),,
2894,S993,10/4/2019,Reverse channels,Googlepay,C00001893,4893,1193,,Contract Purchase Orders (CPO),,
2895,S994,10/5/2019,Reverse channels,Googlepay,C00001894,4894,1194,,Contract Purchase Orders (CPO),,
2896,S995,17/5/2019,Reverse channels,Googlepay,C00001895,4895,1195,,Contract Purchase Orders (CPO),,
2897,S996,20/5/2019,Reverse channels,Googlepay,C00001896,4896,1196,,Contract Purchase Orders (CPO),,
2898,S997,22/5/2019,Reverse channels,Googlepay,C00001897,4897,1197,,Contract Purchase Orders (CPO),,
2899,S998,23/5/2019,Reverse channels,Googlepay,C00001898,4898,1198,,Contract Purchase Orders (CPO),,
2900,S999,24/5/2019,Reverse channels,Googlepay,C00001899,4899,1199,,Contract Purchase Orders (CPO),,
2901,S1000,10/6/2019,Reverse channels,Googlepay,C00001900,4900,1200,,Contract Purchase Orders (CPO),,
2902,S1001,14/6/2019,Reverse channels,Googlepay,C00001901,4901,1201,,Contract Purchase Orders (CPO),,
2903,S1002,18/6/2019,Reverse channels,Googlepay,C00001902,4902,1202,,Contract Purchase Orders (CPO),,
2904,S1003,10/1/2019,Reverse channels,Googlepay,C00001903,4903,1203,,Contract Purchase Orders (CPO),,
2905,S1004,14/1/2019,Reverse channels,Googlepay,C00001904,4904,1204,,Contract Purchase Orders (CPO),,
2906,S1005,2/2/2019,Reverse channels,Googlepay,C00001905,4905,1205,,Contract Purchase Orders (CPO),,
2907,S1006,10/2/2019,Reverse channels,Googlepay,C00001906,4906,1206,,Contract Purchase Orders (CPO),,
2908,S1007,27/2/2019,Reverse channels,Googlepay,C00001907,4907,1207,,Contract Purchase Orders (CPO),,
2909,S1008,15/3/2019,Reverse channels,Googlepay,C00001908,4908,1208,,Contract Purchase Orders (CPO),,
2910,S1009,28/3/2019,Reverse channels,Googlepay,C00001909,4909,1209,,Contract Purchase Orders (CPO),,
2911,S1010,29/3/2019,Reverse channels,Googlepay,C00001910,4910,1210,,Contract Purchase Orders (CPO),,
2912,S1011,1/4/2019,Reverse channels,Googlepay,C00001911,4911,1211,,Contract Purchase Orders (CPO),,
2913,S1012,6/4/2019,Reverse channels,Googlepay,C00001912,4912,1212,,Contract Purchase Orders (CPO),,
2914,S1013,10/4/2019,Reverse channels,Googlepay,C00001913,4913,1213,,Contract Purchase Orders (CPO),,
2915,S1014,10/5/2019,Reverse channels,Googlepay,C00001914,4914,1214,,Contract Purchase Orders (CPO),,
2916,S1015,17/5/2019,Reverse channels,Googlepay,C00001915,4915,1215,,Contract Purchase Orders (CPO),,
2917,S1016,20/5/2019,Reverse channels,Googlepay,C00001916,4916,1216,,Contract Purchase Orders (CPO),,
2918,S1017,22/5/2019,Reverse channels,Googlepay,C00001917,4917,1217,,Contract Purchase Orders (CPO),,
2919,S1018,23/5/2019,Reverse channels,Googlepay,C00001918,4918,1218,,Contract Purchase Orders (CPO),,
2920,S1019,24/5/2019,Reverse channels,Googlepay,C00001919,4919,1219,,Contract Purchase Orders (CPO),,
2921,S1020,10/6/2019,Reverse channels,Googlepay,C00001920,4920,1220,,Contract Purchase Orders (CPO),,
2922,S1021,14/6/2019,Reverse channels,Googlepay,C00001921,4921,1221,,Contract Purchase Orders (CPO),,
2923,S1022,18/6/2019,Reverse channels,Googlepay,C00001922,4922,1222,,Contract Purchase Orders (CPO),,
2924,S1023,10/1/2019,Reverse channels,Googlepay,C00001923,4923,1223,,Contract Purchase Orders (CPO),,
2925,S1024,14/1/2019,Reverse channels,Googlepay,C00001924,4924,1224,,Contract Purchase Orders (CPO),,
2926,S1025,2/2/2019,Reverse channels,Googlepay,C00001925,4925,1225,,Contract Purchase Orders (CPO),,
2927,S1026,10/2/2019,Reverse channels,Googlepay,C00001926,4926,1226,,Contract Purchase Orders (CPO),,
2928,S1027,27/2/2019,Reverse channels,Googlepay,C00001927,4927,1227,,Contract Purchase Orders (CPO),,
2929,S1028,15/3/2019,Reverse channels,Googlepay,C00001928,4928,1228,,Contract Purchase Orders (CPO),,
2930,S1029,28/3/2019,Reverse channels,Googlepay,C00001929,4929,1229,,Contract Purchase Orders (CPO),,
2931,S1030,29/3/2019,Reverse channels,Googlepay,C00001930,4930,1230,,Contract Purchase Orders (CPO),,
2932,S1031,1/4/2019,Reverse channels,Googlepay,C00001931,4931,1231,,Contract Purchase Orders (CPO),,
2933,S1032,6/4/2019,Reverse channels,Googlepay,C00001932,4932,1232,,Contract Purchase Orders (CPO),,
2934,S1033,10/4/2019,Reverse channels,Googlepay,C00001933,4933,1233,,Contract Purchase Orders (CPO),,
2935,S1034,10/5/2019,Reverse channels,Googlepay,C00001934,4934,1234,,Contract Purchase Orders (CPO),,
2936,S1035,17/5/2019,Reverse channels,Googlepay,C00001935,4935,1235,,Contract Purchase Orders (CPO),,
2937,S1036,20/5/2019,Reverse channels,Googlepay,C00001936,4936,1236,,Contract Purchase Orders (CPO),,
2938,S1037,22/5/2019,Reverse channels,Googlepay,C00001937,4937,1237,,Contract Purchase Orders (CPO),,
2939,S1038,23/5/2019,Reverse channels,Googlepay,C00001938,4938,1238,,Contract Purchase Orders (CPO),,
2940,S1039,24/5/2019,Reverse channels,Googlepay,C00001939,4939,1239,,Contract Purchase Orders (CPO),,
2941,S1040,10/6/2019,Reverse channels,Googlepay,C00001940,4940,1240,,Contract Purchase Orders (CPO),,
2942,S1041,14/6/2019,Reverse channels,Googlepay,C00001941,4941,1241,,Contract Purchase Orders (CPO),,
2943,S1042,18/6/2019,Reverse channels,Googlepay,C00001942,4942,1242,,Contract Purchase Orders (CPO),,
2944,S1043,10/1/2019,Reverse channels,Googlepay,C00001943,4943,1243,,Contract Purchase Orders (CPO),,
2945,S1044,14/1/2019,Reverse channels,Googlepay,C00001944,4944,1244,,Contract Purchase Orders (CPO),,
2946,S1045,2/2/2019,Reverse channels,Googlepay,C00001945,4945,1245,,Contract Purchase Orders (CPO),,
2947,S1046,10/2/2019,Reverse channels,Googlepay,C00001946,4946,1246,,Contract Purchase Orders (CPO),,
2948,S1047,27/2/2019,Reverse channels,Googlepay,C00001947,4947,1247,,Contract Purchase Orders (CPO),,
2949,S1048,15/3/2019,Reverse channels,Googlepay,C00001948,4948,1248,,Contract Purchase Orders (CPO),,
2950,S1049,28/3/2019,Reverse channels,Googlepay,C00001949,4949,1249,,Contract Purchase Orders (CPO),,
2951,S1050,29/3/2019,Reverse channels,Googlepay,C00001950,4950,1250,,Contract Purchase Orders (CPO),,
2952,S1051,1/4/2019,Reverse channels,Googlepay,C00001951,4951,1251,,Contract Purchase Orders (CPO),,
2953,S1052,6/4/2019,Reverse channels,Googlepay,C00001952,4952,1252,,Contract Purchase Orders (CPO),,
2954,S1053,10/4/2019,Reverse channels,Googlepay,C00001953,4953,1253,,Contract Purchase Orders (CPO),,
2955,S1054,10/5/2019,Reverse channels,Googlepay,C00001954,4954,1254,,Contract Purchase Orders (CPO),,
2956,S1055,17/5/2019,Reverse channels,Googlepay,C00001955,4955,1255,,Contract Purchase Orders (CPO),,
2957,S1056,20/5/2019,Reverse channels,Googlepay,C00001956,4956,1256,,Contract Purchase Orders (CPO),,
2958,S1057,22/5/2019,Reverse channels,Googlepay,C00001957,4957,1257,,Contract Purchase Orders (CPO),,
2959,S1058,23/5/2019,Reverse channels,Googlepay,C00001958,4958,1258,,Contract Purchase Orders (CPO),,
2960,S1059,24/5/2019,Reverse channels,Googlepay,C00001959,4959,1259,,Contract Purchase Orders (CPO),,
2961,S1060,10/6/2019,Reverse channels,Googlepay,C00001960,4960,1260,,Contract Purchase Orders (CPO),,
2962,S1061,14/6/2019,Reverse channels,Googlepay,C00001961,4961,1261,,Contract Purchase Orders (CPO),,
2963,S1062,18/6/2019,Reverse channels,Googlepay,C00001962,4962,1262,,Contract Purchase Orders (CPO),,
2964,S1063,10/1/2019,Reverse channels,Googlepay,C00001963,4963,1263,,Contract Purchase Orders (CPO),,
2965,S1064,14/1/2019,Reverse channels,Googlepay,C00001964,4964,1264,,Contract Purchase Orders (CPO),,
2966,S1065,2/2/2019,Reverse channels,Googlepay,C00001965,4965,1265,,Contract Purchase Orders (CPO),,
2967,S1066,10/2/2019,Reverse channels,Googlepay,C00001966,4966,1266,,Contract Purchase Orders (CPO),,
2968,S1067,27/2/2019,Reverse channels,Googlepay,C00001967,4967,1267,,Contract Purchase Orders (CPO),,
2969,S1068,15/3/2019,Reverse channels,Googlepay,C00001968,4968,1268,,Contract Purchase Orders (CPO),,
2970,S1069,28/3/2019,Reverse channels,Googlepay,C00001969,4969,1269,,Contract Purchase Orders (CPO),,
2971,S1070,29/3/2019,Reverse channels,Googlepay,C00001970,4970,1270,,Contract Purchase Orders (CPO),,
2972,S1071,1/4/2019,Reverse channels,Googlepay,C00001971,4971,1271,,Contract Purchase Orders (CPO),,
2973,S1072,6/4/2019,Reverse channels,Googlepay,C00001972,4972,1272,,Contract Purchase Orders (CPO),,
2974,S1073,10/4/2019,Reverse channels,Googlepay,C00001973,4973,1273,,Contract Purchase Orders (CPO),,
2975,S1074,10/5/2019,Reverse channels,Googlepay,C00001974,4974,1274,,Contract Purchase Orders (CPO),,
2976,S1075,17/5/2019,Reverse channels,Googlepay,C00001975,4975,1275,,Contract Purchase Orders (CPO),,
2977,S1076,20/5/2019,Reverse channels,Googlepay,C00001976,4976,1276,,Contract Purchase Orders (CPO),,
2978,S1077,22/5/2019,Reverse channels,Googlepay,C00001977,4977,1277,,Contract Purchase Orders (CPO),,
2979,S1078,23/5/2019,Reverse channels,Googlepay,C00001978,4978,1278,,Contract Purchase Orders (CPO),,
2980,S1079,24/5/2019,Reverse channels,Googlepay,C00001979,4979,1279,,Contract Purchase Orders (CPO),,
2981,S1080,10/6/2019,Reverse channels,Googlepay,C00001980,4980,1280,,Contract Purchase Orders (CPO),,
2982,S1081,14/6/2019,Reverse channels,Googlepay,C00001981,4981,1281,,Contract Purchase Orders (CPO),,
2983,S1082,18/6/2019,Reverse channels,Googlepay,C00001982,4982,1282,,Contract Purchase Orders (CPO),,
2984,S1083,10/1/2019,Reverse channels,Googlepay,C00001983,4983,1283,,Contract Purchase Orders (CPO),,
2985,S1084,14/1/2019,Reverse channels,Googlepay,C00001984,4984,1284,,Contract Purchase Orders (CPO),,
2986,S1085,2/2/2019,Reverse channels,Googlepay,C00001985,4985,1285,,Contract Purchase Orders (CPO),,
2987,S1086,10/2/2019,Reverse channels,Googlepay,C00001986,4986,1286,,Contract Purchase Orders (CPO),,
2988,S1087,27/2/2019,Reverse channels,Googlepay,C00001987,4987,1287,,Contract Purchase Orders (CPO),,
2989,S1088,15/3/2019,Reverse channels,Googlepay,C00001988,4988,1288,,Contract Purchase Orders (CPO),,
2990,S1089,28/3/2019,Reverse channels,Googlepay,C00001989,4989,1289,,Contract Purchase Orders (CPO),,
2991,S1090,29/3/2019,Reverse channels,Googlepay,C00001990,4990,1290,,Contract Purchase Orders (CPO),,
2992,S1091,1/4/2019,Reverse channels,Googlepay,C00001991,4991,1291,,Contract Purchase Orders (CPO),,
2993,S1092,6/4/2019,Reverse channels,Googlepay,C00001992,4992,1292,,Contract Purchase Orders (CPO),,
2994,S1093,10/4/2019,Reverse channels,Googlepay,C00001993,4993,1293,,Contract Purchase Orders (CPO),,
2995,S1094,10/5/2019,Reverse channels,Googlepay,C00001994,4994,1294,,Contract Purchase Orders (CPO),,
2996,S1095,17/5/2019,Reverse channels,Googlepay,C00001995,4995,1295,,Contract Purchase Orders (CPO),,
2997,S1096,20/5/2019,Reverse channels,Googlepay,C00001996,4996,1296,,Contract Purchase Orders (CPO),,
2998,S1097,22/5/2019,Reverse channels,Googlepay,C00001997,4997,1297,,Contract Purchase Orders (CPO),,
2999,S1098,23/5/2019,Reverse channels,Googlepay,C00001998,4998,1298,,Contract Purchase Orders (CPO),,
3000,S1099,24/5/2019,Reverse channels,Googlepay,C00001999,4999,1299,,Contract Purchase Orders (CPO),,
3001,S1100,10/6/2019,Reverse channels,Googlepay,C000011000,5000,1300,,Contract Purchase Orders (CPO),,
3002,S1101,14/6/2019,Reverse channels,Googlepay,C000011001,5001,1301,,Contract Purchase Orders (CPO),,
3003,S1102,18/6/2019,Reverse channels,Googlepay,C000011002,5002,1302,,Contract Purchase Orders (CPO),,
3004,S1103,10/1/2019,Reverse channels,Googlepay,C000011003,5003,1303,,Contract Purchase Orders (CPO),,
3005,S1104,14/1/2019,Reverse channels,Googlepay,C000011004,5004,1304,,Contract Purchase Orders (CPO),,
3006,S1105,2/2/2019,Reverse channels,Googlepay,C000011005,5005,1305,,Contract Purchase Orders (CPO),,
3007,S1106,10/2/2019,Reverse channels,Googlepay,C000011006,5006,1306,,Contract Purchase Orders (CPO),,
3008,S1107,27/2/2019,Reverse channels,Googlepay,C000011007,5007,1307,,Contract Purchase Orders (CPO),,
3009,S1108,15/3/2019,Reverse channels,Googlepay,C000011008,5008,1308,,Contract Purchase Orders (CPO),,
3010,S1109,28/3/2019,Reverse channels,Googlepay,C000011009,5009,1309,,Contract Purchase Orders (CPO),,
3011,S1110,29/3/2019,Reverse channels,Googlepay,C000011010,5010,1310,,Contract Purchase Orders (CPO),,
3012,S1111,1/4/2019,Reverse channels,Googlepay,C000011011,5011,1311,,Contract Purchase Orders (CPO),,
3013,S1112,6/4/2019,Reverse channels,Googlepay,C000011012,5012,1312,,Contract Purchase Orders (CPO),,
3014,S1113,10/4/2019,Reverse channels,Googlepay,C000011013,5013,1313,,Contract Purchase Orders (CPO),,
3015,S1114,10/5/2019,Reverse channels,Googlepay,C000011014,5014,1314,,Contract Purchase Orders (CPO),,
3016,S1115,17/5/2019,Reverse channels,Googlepay,C000011015,5015,1315,,Contract Purchase Orders (CPO),,
3017,S1116,20/5/2019,Reverse channels,Googlepay,C000011016,5016,1316,,Contract Purchase Orders (CPO),,
3018,S1117,22/5/2019,Reverse channels,Googlepay,C000011017,5017,1317,,Contract Purchase Orders (CPO),,
3019,S1118,23/5/2019,Reverse channels,Googlepay,C000011018,5018,1318,,Contract Purchase Orders (CPO),,
